날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20170817,빅텍(A065450),매도,4195,1379,날짜지나 매도 : 20170810 ~ 20170817 설정가격매도,-10.649627263045794%
20170821,리켐(A131100),매수,26602,248,매수로직 매수 - (매수가) 우선순위 : 2,-
20170821,현대시멘트(A006390),매수,27600,239,매수로직 매수 - (매수가) 우선순위 : 3,-
20170822,한일단조(A024740),매수,3272,1974.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170823,리켐(A131100),매도,25732,248,날짜지나 매도 : 20170821 ~ 20170823 설정가격매도,-3.270430794677092%
20170823,현대시멘트(A006390),매도,25500,239.0,날짜지나 매도 : 20170821 ~ 20170823 설정가격매도,-7.608695652173914%
20170825,코스모신소재(A005070),매수,11534,540,매수로직 매수 - (매수가) 우선순위 : 1,-
20170825,한일단조(A024740),매도,3061,1974.0,날짜지나 매도 : 20170822 ~ 20170825 설정가격매도,-6.4486552567237165%
20170829,코스모신소재(A005070),매도,11374,540,날짜지나 매도 : 20170825 ~ 20170829 설정가격매도,-1.3872030518467142%
20170830,양지사(A030960),매수,11100,558.0,매수로직 매수 - (매수가) 우선순위 : 3,-
20170901,성문전자(A014910),매수,3045,2005.0,매수로직 매수 - (매수가) 우선순위 : 2,-
