날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20100824,조비(A001550),매도,31200,115,날짜지나 매도 (전일종가) : 2010/08/20 ~ 2010/08/24 ,10.638297872340425%
20100826,리더스코스메틱(A016100),매도,5512,603,날짜지나 매도 (전일종가) : 2010/08/24 ~ 2010/08/26 ,0.2181818181818182%
20100826,젬백스(A082270),매도,14500,221,날짜지나 매도 (전일종가) : 2010/08/24 ~ 2010/08/26 ,-3.3333333333333335%
20100831,쏠리드(A050890),매수,5050,657,매수로직 매수 - (매수가)  우선순위 : 1,-
20100901,효성오앤비(A097870),매수,3640,904,매수로직 매수 - (매수가)  우선순위 : 1,-
20100902,쏠리드(A050890),매도,4644,657,날짜지나 매도 (전일종가) : 2010/08/31 ~ 2010/09/02 ,-8.03960396039604%
20100903,콤텍시스템(A031820),매수,1170,2801,매수로직 매수 - (매수가)  우선순위 : 1,-
20100903,효성오앤비(A097870),매도,3919,904,날짜지나 매도 (전일종가) : 2010/09/01 ~ 2010/09/03 ,7.664835164835165%
20100907,콤텍시스템(A031820),매도,1333,2801,날짜지나 매도 (전일종가) : 2010/09/03 ~ 2010/09/07 ,13.931623931623932%
20100908,이디디컴퍼니(A052650),매수,7910,436,매수로직 매수 - (매수가)  우선순위 : 1,-
20100909,젬백스(A082270),매수,16000,207,매수로직 매수 - (시초가)  우선순위 : 1,-
20100909,이디디컴퍼니(A052650),매도,6320,436,손절가 매도,-20.101137800252843%
20100913,EMW(A079190),매수,3544,871,매수로직 매수 - (시초가)  우선순위 : 1,-
20100913,젬백스(A082270),매도,14300,207,날짜지나 매도 (전일종가) : 2010/09/09 ~ 2010/09/13 ,-10.625%
20100914,부방(A014470),매수,2210,1409,매수로직 매수 - (매수가)  우선순위 : 1,-
20100916,케이피엠테크(A042040),매수,1100,2790,매수로직 매수 - (매수가)  우선순위 : 1,-
20100916,EMW(A079190),매도,3416,871,날짜지나 매도 (전일종가) : 2010/09/13 ~ 2010/09/15 ,-3.611738148984198%
20100916,부방(A014470),매도,2218,1409,날짜지나 매도 (전일종가) : 2010/09/14 ~ 2010/09/16 ,0.36199095022624433%
20100920,케이피엠테크(A042040),매도,1274,2790,날짜지나 매도 (전일종가) : 2010/09/16 ~ 2010/09/20 ,15.818181818181817%
20100928,현대엘리베이(A017800),매수,59300,54,매수로직 매수 - (매수가)  우선순위 : 1,-
20100929,네오위즈홀딩스(A042420),매수,14800,210,매수로직 매수 - (매수가)  우선순위 : 1,-
20100930,현대엘리베이(A017800),매도,55397,54,날짜지나 매도 (전일종가) : 2010/09/28 ~ 2010/09/30 ,-6.581787521079257%
20101001,네오위즈홀딩스(A042420),매도,14800,210,날짜지나 매도 (전일종가) : 2010/09/29 ~ 2010/10/01 ,0.0%
20101006,동원금속(A018500),매수,1850,1700,매수로직 매수 - (매수가)  우선순위 : 1,-
20101007,현대엘리베이(A017800),매수,56400,56,매수로직 매수 - (매수가)  우선순위 : 1,-
20101008,동원금속(A018500),매도,1924,1700,날짜지나 매도 (전일종가) : 2010/10/06 ~ 2010/10/08 ,4.0%
20101011,현대엘리베이(A017800),매도,55929,56,날짜지나 매도 (전일종가) : 2010/10/07 ~ 2010/10/11 ,-0.8351063829787234%
20101012,위다스(A056810),매수,7500,422,매수로직 매수 - (매수가)  우선순위 : 3,-
20101013,정산애강(A022220),매수,2610,1191,매수로직 매수 - (매수가)  우선순위 : 2,-
20101014,위다스(A056810),매도,7184,422,날짜지나 매도 (전일종가) : 2010/10/12 ~ 2010/10/14 ,-4.213333333333334%
20101015,정산애강(A022220),매도,2660,1191,날짜지나 매도 (전일종가) : 2010/10/13 ~ 2010/10/15 ,1.9157088122605364%
20101018,우리들제약(A004720),매수,9090,345,매수로직 매수 - (매수가)  우선순위 : 2,-
20101019,유진테크(A084370),매수,9720,320,매수로직 매수 - (매수가)  우선순위 : 1,-
20101020,남선알미늄(A008350),매수,1150,2704,매수로직 매수 - (매수가)  우선순위 : 1,-
20101020,우리들제약(A004720),매도,8673,345,날짜지나 매도 (전일종가) : 2010/10/18 ~ 2010/10/20 ,-4.587458745874588%
20101021,비츠로테크(A042370),매수,8140,386,매수로직 매수 - (매수가)  우선순위 : 1,-
